<DOCUMENT>
<TYPE>13F-HR
<SEQUENCE>1
<FILENAME>ren_13f_q3_2012.txt
<DESCRIPTION>13F Q3 2012
<TEXT>
                                  UNITED STATES
                       SECURITIES AND EXCHANGE COMMISSION
                             Washington, D.C. 20549

                                    FORM 13F

                               FORM 13F COVER PAGE

Report for the Calendar Year or Quarter Ended:  September 30, 2012
Check here if Amendment [ ]; Amendment Number:
This Amendment (Check only one.): [ ] is a restatement.
                                  [ ] adds new holdings entries.

Institutional Investment Manager Filing this report:

Name:    Renaissance Technologies, L.L.C.
Address: 800 Third Avenue
         33rd floor
         New York, NY 10022

13F File Number:  28-6262

The institutional investment manager filing this report and the person
by whom it is signed hereby represent that the person
signing the report is authorized to submit it, that all information
contained herein is true, correct and complete, and that it is
understood that all required items, statements, schedules, lists, and
tables, are considered integral parts of this form.


Person Signing this Report on Behalf of Reporting Manager:

Name:    Mark Silber
Title:   Executive Vice President
Phone    (212) 486-6780
Signature, Place, and Date of Signing:

       Mark Silber       New York, New York    November 13, 2012
Report Type (Check only one.):

[X]         13F HOLDINGS REPORT.
[ ]         13F NOTICE.
[ ]         13F COMBINATION REPORT.

I AM SIGNING THIS REPORT AS REQUIRED BY THE SECURITIES EXCHANGE ACT OF 1934.




                              FORM 13F SUMMARY PAGE


Report Summary:

Number of Other Included Managers:       0

Form 13F Information Table Entry Total:  2802
Form 13F Information Table Value (x $1000) Total:  $32566460

<TABLE>                        <C>                                          <C>
       FORM 13F INFORMATION TABLE
                                                         VALUE    SHARES/ SH/ PUT/ INVSTMT   OTHER         VOTING AUTHORITY
       NAME OF ISSUER         TITLE OF CLASS   CUSIP    (x1000)   PRN AMT PRN CALL DSCREIN  MANAGERS     SOLE    SHARED   NONE
DOLBY LABORATORIES INC       COM              25659T107    67568  2063142 SH       SOLE                 1838270        0   224872
DOLE FOOD CO INC NEW         COM              256603101     3341   238100 SH       SOLE                     202        0   237898
DOLLAR GEN CORP NEW          COM              256677105    24729   479800 SH       SOLE                  479800        0        0
DOLLAR THRIFTY AUTOMOTIVE GP COM              256743105    45493   523327 SH       SOLE                   20875        0   502452
DOLLAR TREE INC              COM              256746108   156215  3234930 SH       SOLE                 2534435        0   700495
DOMINION RES BLACK WARRIOR T UNITS BEN INT    25746Q108      247    54511 SH       SOLE                       0        0    54511
DOMINION RES INC VA NEW      COM              25746U109    37725   712600 SH       SOLE                  113953        0   598647
DOMINOS PIZZA INC            COM              25754A201    74329  1971600 SH       SOLE                 1971600        0        0
DOMTAR CORP                  COM NEW          257559203    12720   162471 SH       SOLE                   31588        0   130883
DONALDSON INC                COM              257651109     8688   250300 SH       SOLE                   25872        0   224428
DORAL FINL CORP              COM NEW          25811P886      380   403693 SH       SOLE                  170543        0   233150
DORCHESTER MINERALS LP       COM UNIT         25820R105      968    43900 SH       SOLE                       0        0    43900
DOT HILL SYS CORP            COM              25848T109     2095  1957500 SH       SOLE                 1951700        0     5800
DOUBLE EAGLE PETE CO         COM PAR $0.10    258570209     1068   193100 SH       SOLE                  193100        0        0
DOUGLAS EMMETT INC           COM              25960P109     9113   395000 SH       SOLE                   23836        0   371164
DOVER DOWNS GAMING & ENTMT I COM              260095104      627   251800 SH       SOLE                  251800        0        0
DOVER MOTORSPORTS INC        COM              260174107      504   362700 SH       SOLE                  362700        0        0
DOW CHEM CO                  COM              260543103    66513  2297100 SH       SOLE                       0        0  2297100
DR REDDYS LABS LTD           ADR              256135203     8483   274900 SH       SOLE                  102799        0   172101
DRDGOLD LIMITED              SPON ADR REPSTG  26152H301     2104   331270 SH       SOLE                  329970        0     1300
DREW INDS INC                COM NEW          26168L205     1779    58900 SH       SOLE                    6563        0    52337
DRYSHIPS INC                 SHS              Y2109Q101     1430   611128 SH       SOLE                      45        0   611083
DSP GROUP INC                COM              23332B106     2710   456200 SH       SOLE                  456200        0        0
DST SYS INC DEL              COM              233326107     1340    23700 SH       SOLE                      32        0    23668
DSW INC                      CL A             23334L102    41029   614948 SH       SOLE                  482083        0   132865
DTS INC                      COM              23335C101     6921   297018 SH       SOLE                  269465        0    27553
DUCOMMUN INC DEL             COM              264147109      951    69900 SH       SOLE                   10909        0    58991
DUFF & PHELPS CORP NEW       CL A             26433B107      551    40482 SH       SOLE                      98        0    40384
DUKE ENERGY CORP NEW         COM NEW          26441C204   127151  1962517 SH       SOLE                  306997        0  1655520
DUKE REALTY CORP             COM NEW          264411505    24493  1666200 SH       SOLE                  432477        0  1233723
DUNKIN BRANDS GROUP INC      COM              265504100     4867   166700 SH       SOLE                     200        0   166500
DUPONT FABROS TECHNOLOGY INC COM              26613Q106     3931   155700 SH       SOLE                      48        0   155652
DUSA PHARMACEUTICALS INC     COM              266898105     4604   678100 SH       SOLE                  678100        0        0
DXP ENTERPRISES INC NEW      COM NEW          233377407      702    14700 SH       SOLE                       0        0    14700
DYCOM INDS INC               COM              267475101     2633   183100 SH       SOLE                   29901        0   153199
DYNACQ HEALTHCARE INC        COM              26779V105        1    21900 SH       SOLE                   21900        0        0
DYNAMIC MATLS CORP           COM              267888105      336    22395 SH       SOLE                       0        0    22395
DYNAVOX INC                  CL A             26817F104       68   128900 SH       SOLE                  128900        0        0
DYNEX CAP INC                COM NEW          26817Q506     4109   382200 SH       SOLE                       8        0   382192
E FUTURE INFORMATION TECH IN SHS              G29438101      124    37600 SH       SOLE                   37600        0        0
E HOUSE CHINA HLDGS LTD      ADR              26852W103     3617   845000 SH       SOLE                  845000        0        0
E TRADE FINANCIAL CORP       COM NEW          269246401    16503  1875340 SH       SOLE                  179100        0  1696240
EAGLE BANCORP INC MD         COM              268948106      386    23100 SH       SOLE                    3905        0    19195
EAGLE MATERIALS INC          COM              26969P108    16968   366800 SH       SOLE                  100622        0   266178
EAGLE ROCK ENERGY PARTNERS L UNIT             26985R104     1681   175800 SH       SOLE                       0        0   175800
EARTHLINK INC                COM              270321102    48032  6736639 SH       SOLE                 6396433        0   340206
EAST WEST BANCORP INC        COM              27579R104     3195   151300 SH       SOLE                  151300        0        0
EASTERN CO                   COM              276317104     1773    94600 SH       SOLE                   94600        0        0
EASTERN INS HLDGS INC        COM              276534104      240    14284 SH       SOLE                   13800        0      484
EASTMAN CHEM CO              COM              277432100    29813   522940 SH       SOLE                   90235        0   432705
EATON CORP                   COM              278058102     7965   168500 SH       SOLE                    2000        0   166500
ECHELON CORP                 COM              27874N105     1961   510800 SH       SOLE                  510800        0        0
ECHO GLOBAL LOGISTICS INC    COM              27875T101      842    49100 SH       SOLE                   49100        0        0
ECHOSTAR CORP                CL A             278768106    17249   601851 SH       SOLE                  518461        0    83390
ECOLAB INC                   COM              278865100     7720   119122 SH       SOLE                      77        0   119045
ECOPETROL S A                SPONSORED ADS    279158109    65970  1119466 SH       SOLE                  895750        0   223716
ECOTALITY INC                COM NEW          27922Y202      103   222800 SH       SOLE                  222800        0        0
EDAC TECHNOLOGIES CORP       COM              279285100      634    44900 SH       SOLE                   43000        0     1900
EDGEWATER TECHNOLOGY INC     COM              280358102     1801   453600 SH       SOLE                  453600        0        0
EDISON INTL                  COM              281020107    10225   223800 SH       SOLE                       0        0   223800
EDUCATION MGMT CORP NEW      COM              28140M103     1332   428293 SH       SOLE                  207789        0   220504
EDUCATION RLTY TR INC        COM              28140H104     4564   418700 SH       SOLE                   89433        0   329267
EDWARDS LIFESCIENCES CORP    COM              28176E108    11435   106500 SH       SOLE                       0        0   106500
EHEALTH INC                  COM              28238P109     1644    87600 SH       SOLE                   52906        0    34694
EINSTEIN NOAH REST GROUP INC COM              28257U104     2512   142000 SH       SOLE                  110900        0    31100
EL PASO ELEC CO              COM NEW          283677854      319     9300 SH       SOLE                    9300        0        0
EL PASO PIPELINE PARTNERS L  COM UNIT LPI     283702108      949    25500 SH       SOLE                       0        0    25500
ELAN PLC                     ADR              284131208     6563   612200 SH       SOLE                       0        0   612200
ELBIT IMAGING LTD            ORD SHS          M37605108      218    96924 SH       SOLE                   96924        0        0
ELBIT SYS LTD                ORD              M3760D101     4538   133300 SH       SOLE                  133300        0        0
ELDORADO GOLD CORP NEW       COM              284902103    10884   714200 SH       SOLE                  714200        0        0
ELECTRO RENT CORP            COM              285218103     4181   236356 SH       SOLE                  233900        0     2456
ELECTRO SCIENTIFIC INDS      COM              285229100     5025   411180 SH       SOLE                  348749        0    62431
ELECTRO-SENSORS INC          COM              285233102      175    42800 SH       SOLE                   42800        0        0
ELECTRONIC ARTS INC          COM              285512109    34723  2736264 SH       SOLE                  301437        0  2434827
ELECTRONICS FOR IMAGING INC  COM              286082102     1844   110959 SH       SOLE                   29200        0    81759
ELIZABETH ARDEN INC          COM              28660G106     1950    41270 SH       SOLE                       0        0    41270
ELLIE MAE INC                COM              28849P100    14808   543800 SH       SOLE                  495600        0    48200
ELLINGTON FINANCIAL LLC      COM              288522303     3482   152600 SH       SOLE                       0        0   152600
ELONG INC                    SPONSORED ADR    290138205     6248   352800 SH       SOLE                  352800        0        0
ELTEK LTD                    ORD              M40184109       84    78700 SH       SOLE                   78700        0        0
EMBOTELLADORA ANDINA S A     SPON ADR A       29081P204     3044   109800 SH       SOLE                  109800        0        0
EMBOTELLADORA ANDINA S A     SPON ADR B       29081P303     9798   285400 SH       SOLE                  284900        0      500
EMC INS GROUP INC            COM              268664109     2301   109566 SH       SOLE                  105700        0     3866
EMCORE CORP                  COM NEW          290846203       95    16885 SH       SOLE                       0        0    16885
EMERALD OIL INC              COM              29101U100       66    79500 SH       SOLE                       0        0    79500
EMERGENT BIOSOLUTIONS INC    COM              29089Q105     5822   409711 SH       SOLE                  338021        0    71690
EMERITUS CORP                COM              291005106     2749   131300 SH       SOLE                  131300        0        0
EMERSON ELEC CO              COM              291011104    80341  1664400 SH       SOLE                  368541        0  1295859
EMERSON RADIO CORP           COM NEW          291087203     1394   682900 SH       SOLE                  682900        0        0
EMMIS COMMUNICATIONS CORP    CL A             291525103      662   331200 SH       SOLE                  331200        0        0
EMPIRE DIST ELEC CO          COM              291641108     4603   213600 SH       SOLE                  213600        0        0
EMPIRE RESORTS INC           COM NEW          292052206       28    16999 SH       SOLE                   16999        0        0
EMPLOYERS HOLDINGS INC       COM              292218104      742    40500 SH       SOLE                     713        0    39787
EMPRESA DIST Y COMERCIAL NOR SPON ADR         29244A102      155    71900 SH       SOLE                   71900        0        0
EMPRESA NACIONAL DE ELCTRCID SPONSORED ADR    29244T101      820    17100 SH       SOLE                     100        0    17000
EMPRESAS ICA S A DE CV       SPONS ADR NEW    292448206      536    69200 SH       SOLE                       0        0    69200
EMULEX CORP                  COM NEW          292475209     9529  1321600 SH       SOLE                  759733        0   561867
ENBRIDGE ENERGY MANAGEMENT L SHS UNITS LLI    29250X103     1631    51505 SH       SOLE                    4290        0    47215
ENBRIDGE ENERGY PARTNERS L P COM              29250R106     4869   165400 SH       SOLE                       0        0   165400
ENBRIDGE INC                 COM              29250N105    17031   436348 SH       SOLE                  197271        0   239077
ENCORE CAP GROUP INC         COM              292554102     2423    85746 SH       SOLE                   28100        0    57646
ENDEAVOUR SILVER CORP        COM              29258Y103    38057  3813314 SH       SOLE                 3146230        0   667084
ENDO HEALTH SOLUTIONS INC    COM              29264F205     8155   257093 SH       SOLE                       0        0   257093
ENDOCYTE INC                 COM              29269A102     1133   113600 SH       SOLE                    7100        0   106500
ENERGEN CORP                 COM              29265N108     4816    91900 SH       SOLE                       0        0    91900
ENERGY RECOVERY INC          COM              29270J100      371   125700 SH       SOLE                  125700        0        0
ENERGY TRANSFER EQUITY L P   COM UT LTD PTN   29273V100      633    14013 SH       SOLE                       0        0    14013
ENERGY TRANSFER PRTNRS L P   UNIT LTD PARTN   29273R109    19693   462600 SH       SOLE                       0        0   462600
ENERGYSOLUTIONS INC          COM              292756202     1336   489277 SH       SOLE                     100        0   489177
ENERNOC INC                  COM              292764107     7702   593400 SH       SOLE                  535100        0    58300
ENERSIS S A                  SPONSORED ADR    29274F104     3945   240678 SH       SOLE                   42655        0   198023
ENERSYS                      COM              29275Y102    11536   326900 SH       SOLE                   85541        0   241359
ENGLOBAL CORP                COM              293306106       31    56700 SH       SOLE                   56700        0        0
ENI S P A                    SPONSORED ADR    26874R108    15105   344550 SH       SOLE                   18418        0   326132
ENTEROMEDICS INC             COM NEW          29365M208      172    47219 SH       SOLE                     908        0    46311
ENTERPRISE PRODS PARTNERS L  COM              293792107    42356   790230 SH       SOLE                       0        0   790230
ENTERTAINMENT GAMING ASIA IN COM NEW          29383V206      655   319451 SH       SOLE                  319451        0        0
ENTERTAINMENT PPTYS TR       COM SH BEN INT   29380T105     3639    81900 SH       SOLE                    6746        0    75154
ENTRAVISION COMMUNICATIONS C CL A             29382R107      133    98900 SH       SOLE                   95200        0     3700
ENVESTNET INC                COM              29404K106     1107    94600 SH       SOLE                   94600        0        0
ENZO BIOCHEM INC             COM              294100102      351   171900 SH       SOLE                  169300        0     2600
ENZON PHARMACEUTICALS INC    COM              293904108     7957  1143184 SH       SOLE                 1143184        0        0
EOG RES INC                  COM              26875P101    54322   484800 SH       SOLE                   21779        0   463021
EON COMMUNICATIONS CORP      COM NEW          268763208       64    77940 SH       SOLE                   77940        0        0
EPL OIL & GAS INC            COM              26883D108     4795   236300 SH       SOLE                   68167        0   168133
EPOCRATES INC                COM              29429D103      711    61000 SH       SOLE                   61000        0        0
EQUAL ENERGY LTD             COM              29390Q109      183    53219 SH       SOLE                       0        0    53219
EQUINIX INC                  COM NEW          29444U502    37715   183038 SH       SOLE                      17        0   183021
EQUITY LIFESTYLE PPTYS INC   COM              29472R108     9898   145300 SH       SOLE                   26448        0   118852
EQUITY ONE                   COM              294752100      430    20400 SH       SOLE                     400        0    20000
ERBA DIAGNOSTICS             COM              29490B101       51    86600 SH       SOLE                   86600        0        0
ERIE INDTY CO                CL A             29530P102     4786    74471 SH       SOLE                   43048        0    31423
ESB FINL CORP                COM              26884F102      147    10560 SH       SOLE                   10560        0        0
ESCALADE INC                 COM              296056104      439    82400 SH       SOLE                   82400        0        0
ESCALON MED CORP             COM NEW          296074305       64   206500 SH       SOLE                  206500        0        0
ESPEY MFG & ELECTRS CORP     COM              296650104     1721    65400 SH       SOLE                   65400        0        0
ESSA BANCORP INC             COM              29667D104     1035    99600 SH       SOLE                   95800        0     3800
ESTERLINE TECHNOLOGIES CORP  COM              297425100     7629   135900 SH       SOLE                   12621        0   123279
ETABLISSEMENTS DELHAIZE FRER SPONSORED ADR    29759W101    12385   321200 SH       SOLE                  305591        0    15609
ETHAN ALLEN INTERIORS INC    COM              297602104     2188    99800 SH       SOLE                    3097        0    96703
EURO TECH HOLDINGS CO LTD    SHS NEW          G32030127      137    35273 SH       SOLE                   35273        0        0
EURONET WORLDWIDE INC        COM              298736109      335    17845 SH       SOLE                       0        0    17845
EUROSEAS LTD                 COM NEW          Y23592200      927   827896 SH       SOLE                  827896        0        0
EVOLVING SYS INC             COM NEW          30049R209      716   116299 SH       SOLE                  116299        0        0
EXACT SCIENCES CORP          COM              30063P105     1825   165900 SH       SOLE                   20277        0   145623
EXAMWORKS GROUP INC          COM              30066A105     2031   136100 SH       SOLE                   35311        0   100789
EXAR CORP                    COM              300645108    17235  2154328 SH       SOLE                 2096868        0    57460
EXCEED COMPANY LTD           SHS              G32335104       68    38600 SH       SOLE                   38600        0        0
EXCEL MARITIME CARRIERS LTD  COM              V3267N107      496   714200 SH       SOLE                  714200        0        0
EXCO RESOURCES INC           COM              269279402    13502  1685700 SH       SOLE                  259886        0  1425814
EXELIS INC                   COM              30162A108     4781   462400 SH       SOLE                  143015        0   319385
EXETER RES CORP              COM              301835104      834   502400 SH       SOLE                  398800        0   103600
EXFO INC                     SUB VTG SHS      302046107     5445  1111300 SH       SOLE                 1111300        0        0
EXIDE TECHNOLOGIES           COM NEW          302051206      282    90882 SH       SOLE                       0        0    90882
EXLSERVICE HOLDINGS INC      COM              302081104     9245   313400 SH       SOLE                  313400        0        0
EXPEDIA INC DEL              COM NEW          30212P303   102052  1764384 SH       SOLE                  882459        0   881925
EXPEDITORS INTL WASH INC     COM              302130109    23352   642416 SH       SOLE                   97220        0   545196
EXPONENT INC                 COM              30214U102    15523   271900 SH       SOLE                  271900        0        0
EXPRESS INC                  COM              30219E103    13113   884800 SH       SOLE                  276759        0   608041
EXPRESS SCRIPTS HLDG CO      COM              30219G108     5652    90239 SH       SOLE                       0        0    90239
EXTERRAN PARTNERS LP         COM UNITS        30225N105      388    18000 SH       SOLE                       0        0    18000
EXTRA SPACE STORAGE INC      COM              30225T102     6610   198800 SH       SOLE                  198800        0        0
EXTREME NETWORKS INC         COM              30226D106     9605  2867161 SH       SOLE                 2867161        0        0
F5 NETWORKS INC              COM              315616102    41539   396974 SH       SOLE                   28381        0   368593
FABRINET                     SHS              G3323L100      175    15100 SH       SOLE                     647        0    14453
FACTSET RESH SYS INC         COM              303075105    59689   619050 SH       SOLE                  603300        0    15750
FAIR ISAAC CORP              COM              303250104    12216   276000 SH       SOLE                  276000        0        0
FAIRPOINT COMMUNICATIONS INC COM NEW          305560302      352    46500 SH       SOLE                   12702        0    33798
FAMILY DLR STORES INC        COM              307000109   137035  2066900 SH       SOLE                 1466062        0   600838
FAMOUS DAVES AMER INC        COM              307068106     2921   306500 SH       SOLE                  306500        0        0
FARMER BROS CO               COM              307675108     2457   258400 SH       SOLE                  258400        0        0
FARMERS CAP BK CORP          COM              309562106      609    58000 SH       SOLE                   58000        0        0
FASTENAL CO                  COM              311900104     1408    32744 SH       SOLE                    1011        0    31733
FBR & CO                     COM              30247C301      555   179500 SH       SOLE                  150400        0    29100
FEDERAL AGRIC MTG CORP       CL C             313148306     1030    40000 SH       SOLE                   40000        0        0
FEDERAL MOGUL CORP           COM              313549404      139    15236 SH       SOLE                       0        0    15236
FEDERAL REALTY INVT TR       SH BEN INT NEW   313747206      842     8000 SH       SOLE                    8000        0        0
FEDERATED NATL HLDG CO       COM              31422T101     1124   188600 SH       SOLE                  188600        0        0
FEDEX CORP                   COM              31428X106    80533   951700 SH       SOLE                   98783        0   852917
FEI CO                       COM              30241L109     1156    21600 SH       SOLE                       0        0    21600
FEIHE INTL INC               COM              31429Y103     1529   253600 SH       SOLE                  228500        0    25100
FELCOR LODGING TR INC        COM              31430F101     1906   402127 SH       SOLE                   70713        0   331414
FEMALE HEALTH CO             COM              314462102      484    67700 SH       SOLE                   67700        0        0
FERRO CORP                   COM              315405100      586   170700 SH       SOLE                       0        0   170700
FIDELITY NATIONAL FINANCIAL  CL A             31620R105    28688  1341201 SH       SOLE                  231673        0  1109528
FIDELITY NATL INFORMATION SV COM              31620M106    17358   556001 SH       SOLE                   39754        0   516247
FIDELITY SOUTHERN CORP NEW   COM              316394105     1593   168345 SH       SOLE                  160696        0     7649
FIELDPOINT PETROLEUM CORP    *W EXP 03/23/201 316570126      146   134400 SH       SOLE                  134400        0        0
FIELDPOINT PETROLEUM CORP    COM              316570100      799   178800 SH       SOLE                  178800        0        0
FIESTA RESTAURANT GROUP INC  COM              31660B101      781    49200 SH       SOLE                   49200        0        0
FIFTH & PAC COS INC          COM              316645100     5438   425500 SH       SOLE                   16788        0   408712
FIFTH THIRD BANCORP          COM              316773100    27401  1767226 SH       SOLE                  558015        0  1209211
FINANCIAL INSTNS INC         COM              317585404     1269    68105 SH       SOLE                   60281        0     7824
FIRST ACCEPTANCE CORP        COM              318457108       85    73100 SH       SOLE                   73100        0        0
FIRST BANCORP INC ME         COM              31866P102      233    13300 SH       SOLE                   13300        0        0
FIRST BANCORP N C            COM              318910106      634    55000 SH       SOLE                   55000        0        0
FIRST BANCORP P R            COM NEW          318672706     1374   310800 SH       SOLE                  310800        0        0
FIRST BUSEY CORP             COM              319383105     1733   355100 SH       SOLE                  355100        0        0
FIRST CALIFORNIA FINANCIAL G COM NEW          319395109     2716   390299 SH       SOLE                  373037        0    17262
FIRST CASH FINL SVCS INC     COM              31942D107    14203   308700 SH       SOLE                  308700        0        0
FIRST CMNTY BANCSHARES INC N COM              31983A103      794    52000 SH       SOLE                   52000        0        0
FIRST CONN BANCORP INC MD    COM              319850103      407    30125 SH       SOLE                   21200        0     8925
FIRST CTZNS BANCSHARES INC N CL A             31946M103     6874    42200 SH       SOLE                   41000        0     1200
FIRST DEFIANCE FINL CORP     COM              32006W106     1118    64800 SH       SOLE                   64800        0        0
FIRST FINANCIAL NORTHWEST IN COM              32022K102      606    75327 SH       SOLE                   75098        0      229
FIRST FINL HLDGS INC         COM              320239106      902    69400 SH       SOLE                   69400        0        0
FIRST INDUSTRIAL REALTY TRUS COM              32054K103     3378   257100 SH       SOLE                      87        0   257013
FIRST LONG IS CORP           COM              320734106     1146    37200 SH       SOLE                   32800        0     4400
FIRST M & F CORP             COM              320744105      220    29700 SH       SOLE                   29700        0        0
FIRST MARBLEHEAD CORP        COM              320771108      421   401100 SH       SOLE                  401100        0        0
FIRST MERCHANTS CORP         COM              320817109     1012    67400 SH       SOLE                   67400        0        0
FIRST MIDWEST BANCORP DEL    COM              320867104     1367   108871 SH       SOLE                   10000        0    98871
FIRST NIAGARA FINL GP INC    COM              33582V108    14297  1771605 SH       SOLE                   22064        0  1749541
FIRST PACTRUST BANCORP INC   COM              33589V101      175    14000 SH       SOLE                   14000        0        0
FIRST REP BK SAN FRANCISCO C COM              33616C100      234     6800 SH       SOLE                       0        0     6800
FIRST SOLAR INC              COM              336433107    20863   942100 SH       SOLE                  942100        0        0
FIRST SOUTH BANCORP INC VA   COM              33646W100      228    46800 SH       SOLE                   46800        0        0
FIRSTBANK CORP MICH          COM              33761G104      392    39155 SH       SOLE                   39155        0        0
FIRSTCITY FINL CORP          COM              33761X107      664    82400 SH       SOLE                   82400        0        0
FIRSTSERVICE CORP            SUB VTG SH       33761N109     9291   332400 SH       SOLE                  324300        0     8100
FIVE STAR QUALITY CARE INC   COM              33832D106     4201   822016 SH       SOLE                  681659        0   140357
FLAGSTAR BANCORP INC         COM NEW          337930507      657   596840 SH       SOLE                  146562        0   450278
FLAGSTONE REINSURANCE HOLDIN COM              L3466T104      405    47140 SH       SOLE                       4        0    47136
FLEETCOR TECHNOLOGIES INC    COM              339041105    17978   401300 SH       SOLE                  275874        0   125426
FLEXSTEEL INDS INC           COM              339382103      470    22700 SH       SOLE                   16811        0     5889
FLEXTRONICS INTL LTD         ORD              Y2573F102     4904   817313 SH       SOLE                     200        0   817113
FLIR SYS INC                 COM              302445101     6866   343732 SH       SOLE                   74553        0   269179
FLOWERS FOODS INC            COM              343498101    49953  2475388 SH       SOLE                 2275902        0   199486
FLUOR CORP NEW               COM              343412102     4266    75800 SH       SOLE                    1600        0    74200
FLUSHING FINL CORP           COM              343873105     1541    97500 SH       SOLE                   97500        0        0
FLY LEASING LTD              SPONSORED ADR    34407D109    10653   788512 SH       SOLE                  761200        0    27312
FNB CORP PA                  COM              302520101     1347   120174 SH       SOLE                      25        0   120149
FOCUS MEDIA HLDG LTD         SPONSORED ADR    34415V109    30874  1319400 SH       SOLE                 1319400        0        0
FOMENTO ECONOMICO MEXICANO S SPON ADR UNITS   344419106    29516   320900 SH       SOLE                   73624        0   247276
FONAR CORP                   COM NEW          344437405     1670   445216 SH       SOLE                  400978        0    44238
FOOD TECHNOLOGY SERVICE INC  COM NEW          344798202      203    31300 SH       SOLE                   31300        0        0
FOOT LOCKER INC              COM              344849104    43928  1237400 SH       SOLE                  764496        0   472904
FORBES ENERGY SVCS LTD       COM              345143101       48    13800 SH       SOLE                       0        0    13800
FORD MTR CO DEL              COM PAR $0.01    345370860    75895  7697309 SH       SOLE                      75        0  7697234
FOREST CITY ENTERPRISES INC  CL A             345550107    13303   839300 SH       SOLE                  195173        0   644127
FOREST LABS INC              COM              345838106    82669  2321500 SH       SOLE                 1780255        0   541245
FOREST OIL CORP              COM PAR $0.01    346091705     8605  1018295 SH       SOLE                       0        0  1018295
FORESTAR GROUP INC           COM              346233109     1693   101600 SH       SOLE                     891        0   100709
FORMFACTOR INC               COM              346375108     3544   633900 SH       SOLE                  549714        0    84186
FORMULA SYS 1985 LTD         SPONSORED ADR    346414105     1074    67800 SH       SOLE                   67800        0        0
FORRESTER RESH INC           COM              346563109    11975   416218 SH       SOLE                  396600        0    19618
FORTRESS INVESTMENT GROUP LL CL A             34958B106     1814   410300 SH       SOLE                       0        0   410300
FORTUNE BRANDS HOME & SEC IN COM              34964C106     8046   297900 SH       SOLE                    1809        0   296091
FORWARD AIR CORP             COM              349853101     4085   134339 SH       SOLE                  120000        0    14339
FORWARD INDS INC N Y         COM NEW          349862300      426   364000 SH       SOLE                  364000        0        0
FOSSIL INC                   COM              349882100    45162   533200 SH       SOLE                  113567        0   419633
FOX CHASE BANCORP INC NEW    COM              35137T108      843    54000 SH       SOLE                   54000        0        0
FRANCE TELECOM               SPONSORED ADR    35177Q105     1817   148700 SH       SOLE                       0        0   148700
FRANCESCAS HLDGS CORP        COM              351793104     3841   125000 SH       SOLE                  125000        0        0
FRANCO NEVADA CORP           COM              351858105      554     9400 SH       SOLE                    9400        0        0
FRANKLIN COVEY CO            COM              353469109     1327   110600 SH       SOLE                  104900        0     5700
FRANKLIN ELEC INC            COM              353514102      877    14500 SH       SOLE                    1475        0    13025
FRANKLIN FINL CORP VA        COM              35353C102     1146    67200 SH       SOLE                   67200        0        0
FRANKLIN STREET PPTYS CORP   COM              35471R106     1206   108900 SH       SOLE                  108900        0        0
FREDERICKS HOLLYWOOD GROUP I COM              35582T108        5    16000 SH       SOLE                   16000        0        0
FREEPORT-MCMORAN COPPER & GO COM              35671D857    36365   918766 SH       SOLE                      43        0   918723
FREESCALE SEMICONDUCTOR LTD  SHS              G3727Q101      351    36900 SH       SOLE                       0        0    36900
FREESEAS INC                 SHS              Y26496144       18    74364 SH       SOLE                   74364        0        0
FREIGHTCAR AMER INC          COM              357023100     1107    62200 SH       SOLE                   16700        0    45500
FREQUENCY ELECTRS INC        COM              358010106     1290   146600 SH       SOLE                  146600        0        0
FRESENIUS MED CARE AG&CO KGA SPONSORED ADR    358029106      237     3227 SH       SOLE                       0        0     3227
FRESH MKT INC                COM              35804H106    40860   681800 SH       SOLE                  563800        0   118000
FRIEDMAN INDS INC            COM              358435105     3500   342100 SH       SOLE                  329300        0    12800
FRIENDFINDER NETWORKS INC    COM IPO          358453306       64    74300 SH       SOLE                   74300        0        0
FRISCHS RESTAURANTS INC      COM              358748101     1016    51200 SH       SOLE                   44200        0     7000
FRONTLINE LTD                SHS              G3682E127      635   165400 SH       SOLE                      39        0   165361
FROZEN FOOD EXPRESS INDS INC COM              359360104      390   196200 SH       SOLE                  196200        0        0
FTI CONSULTING INC           COM              302941109     2812   105400 SH       SOLE                     121        0   105279
FUEL TECH INC                COM              359523107      488   116974 SH       SOLE                   75340        0    41634
FULL HOUSE RESORTS INC       COM              359678109      171    45600 SH       SOLE                   45600        0        0
FULLER H B CO                COM              359694106     4970   162000 SH       SOLE                    5160        0   156840
FURMANITE CORPORATION        COM              361086101      103    18200 SH       SOLE                   18200        0        0
FURNITURE BRANDS INTL INC    COM              360921100     1153   794894 SH       SOLE                  606604        0   188290
FUSHI COPPERWELD INC         COM              36113E107      360    39600 SH       SOLE                   39600        0        0
FUSION-IO INC                COM              36112J107     4089   135100 SH       SOLE                       0        0   135100
FUTUREFUEL CORPORATION       COM              36116M106      554    45710 SH       SOLE                   45710        0        0
FUWEI FILMS HLDGS CO LTD     SHS              G3704F102      395   285900 SH       SOLE                  285900        0        0
FX ENERGY INC                COM              302695101      239    32100 SH       SOLE                   32100        0        0
G & K SVCS INC               CL A             361268105     1125    35890 SH       SOLE                    9781        0    26109
G WILLI FOOD INTL LTD        ORD              M52523103     1853   447500 SH       SOLE                  447500        0        0
GAIAM INC                    CL A             36268Q103      337    96600 SH       SOLE                   96600        0        0
